2025-07-23 21:04,Atlanta,28,few clouds
2025-07-23 21:21,Atlanta,28,scattered clouds
2025-07-24 19:08,Atlanta,29,clear sky
2025-07-24 19:08,California,28,clear sky
2025-07-24 19:17,Queens,27,broken clouds
2025-07-24 19:18,Brooklyn,28,broken clouds
2025-07-24 20:15,Brooklyn,27,broken clouds
2025-07-27 22:01,Bronx County,27,few clouds
2025-07-27 22:01,Queens,26,clear sky
2025-07-27 22:01,Staten Island,27,clear sky
2025-07-27 22:01,Manhattan,27,clear sky
2025-07-30 15:39,Suffolk,32,clear sky
2025-07-30 15:39,Nassau,35,clear sky
2025-07-30 16:39,Suffolk,32,clear sky
2025-07-30 16:53,State of Maine,27,moderate rain
2025-07-30 19:24,Radcha,15,overcast clouds
2025-07-30 19:24,Babynychi,15,overcast clouds
2025-07-30 19:36,Queens,28,thunderstorm
2025-07-30 19:36,New York,29,broken clouds
